Administration,1470
Arts & Crafts,211
Booths,72
Central,660
Childrens,600
Communications,500
Emergency Services,1450
Entertainment,207
Garlic Grove,310
Gourmet Alley,17250
Hub & Pub,326
Information,980
Parking,4160
Programs,530
Promotions,110
Queen,125
Recipe Contest,327
Refreshments,1440
Refuse,2600
Security,995
Signs,850
Souvenirs,1250
Sponsor Hospitality,300
Tickets,2190
Traffic,800
Transportation,515
Utilities,550
